,carat,cut,color,clarity,depth,table,price,x,y,z
122,0.42,Ideal,H,VS2,62.5,57.0,992,4.81,4.76,2.99
123,0.79,Ideal,E,VS2,62.2,55.0,3827,5.9,5.97,3.69
124,0.31,Ideal,E,VS2,61.6,56.0,680,4.37,4.4,2.7
125,1.0,Very Good,F,IF,63.9,56.0,9248,6.31,6.34,4.04
126,1.5,Fair,G,VS2,66.2,53.0,10644,7.12,7.08,4.7
127,0.74,Ideal,I,IF,62.1,53.9,2952,5.79,5.81,3.6
128,1.5,Good,G,VS2,63.6,60.0,12787,7.24,7.2,4.59
129,1.51,Good,J,VS1,60.6,55.0,7848,7.3,7.36,4.44
130,1.71,Premium,G,VS2,61.3,58.0,11032,7.64,7.6,4.67
131,0.36,Premium,I,SI1,60.4,60.0,624,4.62,4.58,2.78
132,1.01,Good,J,VS2,63.3,54.0,3555,6.34,6.42,4.04
133,0.71,Very Good,G,SI1,62.3,57.0,2104,5.7,5.76,3.57
134,1.2,Premium,D,VS2,61.1,58.0,10161,6.85,6.83,4.18
135,1.73,Premium,E,SI1,62.6,58.0,16253,7.67,7.59,4.78
136,1.5,Premium,D,SI1,62.4,58.0,12179,7.31,7.27,4.55
137,1.51,Premium,I,VVS2,61.1,60.0,10817,7.36,7.33,4.49
138,1.01,Premium,E,VS2,62.0,59.0,6666,6.44,6.46,4.0
139,0.31,Premium,G,VS1,61.2,59.0,802,4.37,4.35,2.67
140,0.9,Premium,E,SI1,61.9,58.0,4209,6.17,6.1,3.8
141,1.22,Premium,H,SI1,62.4,58.0,6153,6.82,6.77,4.24
142,0.53,Very Good,F,SI1,59.6,58.0,1250,5.28,5.33,3.16
143,2.32,Ideal,J,VS1,62.5,54.5,17891,8.44,8.47,5.28
144,0.3,Ideal,E,VS2,61.8,55.0,844,4.35,4.33,2.68
145,0.23,Premium,G,VVS2,58.1,59.0,550,4.09,4.03,2.36
146,1.31,Ideal,F,SI2,62.7,57.0,6676,7.05,6.98,4.4
147,0.3,Ideal,H,IF,62.3,54.0,764,4.34,4.36,2.71
148,0.3,Premium,F,VVS2,61.1,59.0,737,4.29,4.32,2.63
149,0.74,Very Good,D,SI1,61.5,59.0,3138,5.76,5.82,3.56
150,0.5,Very Good,F,VVS2,62.8,55.0,2153,5.0,5.13,3.18
151,1.52,Ideal,F,SI1,62.0,54.0,12182,7.44,7.36,4.59
152,0.54,Ideal,G,VS2,61.0,57.0,1644,5.24,5.28,3.21
153,2.09,Premium,H,SI1,61.1,56.0,18559,8.3,8.23,5.05
154,0.3,Ideal,D,VS2,62.3,54.0,710,4.29,4.34,2.69
155,0.71,Ideal,E,VS1,62.3,56.0,3198,5.66,5.7,3.54
156,1.05,Ideal,I,VS2,60.2,57.0,5347,6.6,6.65,3.99
157,0.9,Very Good,H,VS1,62.5,58.0,4328,6.08,6.14,3.82
158,0.97,Premium,D,SI1,62.0,60.0,4639,6.29,6.25,3.89
159,0.53,Ideal,G,SI1,61.6,57.0,1665,5.19,5.24,3.21
160,1.2,Very Good,I,SI1,62.6,58.2,5280,6.71,6.74,4.21
161,0.73,Premium,I,VVS2,61.5,58.0,2519,5.78,5.73,3.54
162,0.57,Ideal,H,VS2,61.7,55.0,1725,5.37,5.34,3.3
163,1.02,Premium,D,SI2,62.5,59.0,4907,6.43,6.38,4.0
164,0.32,Ideal,D,VS2,62.0,55.0,758,4.37,4.41,2.72
165,1.0,Ideal,E,VS2,62.9,55.0,6871,6.4,6.36,4.01
166,0.5,Ideal,E,VS1,62.2,57.0,1724,5.13,5.1,3.18
167,0.52,Very Good,H,SI1,63.1,57.0,1219,5.14,5.09,3.23
168,1.2,Very Good,I,SI1,62.8,57.0,5408,6.7,6.74,4.22
169,0.3,Ideal,G,VVS2,62.7,57.0,684,4.26,4.29,2.68
170,1.0,Very Good,E,SI2,60.6,61.0,4312,6.39,6.44,3.89
171,0.29,Premium,F,SI1,62.4,58.0,403,4.24,4.26,2.65
172,0.51,Ideal,E,VS1,61.8,56.0,1851,5.17,5.19,3.2
173,0.91,Premium,H,VVS1,62.5,59.0,4944,6.19,6.16,3.86
174,0.3,Very Good,D,VS2,62.4,56.0,710,4.27,4.32,2.68
175,1.15,Premium,D,SI1,61.7,58.0,6041,6.76,6.69,4.15
176,0.52,Ideal,G,VVS2,62.3,55.0,2012,5.16,5.12,3.2
177,0.9,Very Good,D,SI1,60.1,58.0,4130,6.27,6.3,3.78
178,1.5,Premium,F,SI1,62.6,60.0,10962,7.27,7.18,4.52
179,0.54,Premium,E,SI1,59.5,61.0,1356,5.31,5.28,3.15
180,1.36,Very Good,F,VS1,62.7,60.0,11946,7.05,7.02,4.41
181,0.7,Very Good,I,VS1,62.7,58.0,2288,5.61,5.65,3.53
182,1.06,Ideal,G,VS2,61.9,54.0,6890,6.54,6.58,4.06
183,1.17,Premium,H,VS2,62.4,57.0,6163,6.74,6.69,4.19
184,0.73,Very Good,D,VS1,61.1,59.0,4116,5.79,5.86,3.56
185,0.57,Ideal,G,VS1,62.1,56.0,1868,5.31,5.34,3.3
186,1.2,Premium,I,SI2,62.7,58.0,5141,6.82,6.76,4.26
187,0.3,Very Good,I,VS1,60.8,59.0,473,4.3,4.32,2.62
188,0.71,Premium,H,SI2,61.5,57.0,1960,5.76,5.69,3.52
189,0.4,Ideal,D,SI1,62.0,56.0,990,4.71,4.68,2.91
190,0.31,Ideal,E,VVS2,61.6,55.0,816,4.35,4.38,2.69
191,0.56,Ideal,D,VS2,61.2,56.0,2066,5.35,5.3,3.26
192,0.4,Premium,D,SI2,62.4,58.0,855,4.73,4.69,2.94
193,0.52,Ideal,E,SI2,62.9,56.0,1290,5.12,5.08,3.21
194,1.12,Good,F,VS2,63.8,57.0,6925,6.59,6.61,4.21
195,0.57,Very Good,D,SI1,61.1,56.0,1754,5.33,5.38,3.27
196,1.2,Good,E,VS2,63.7,57.0,5914,6.71,6.64,4.25
197,0.7,Very Good,D,SI2,60.9,60.0,1990,5.68,5.72,3.47
198,2.12,Ideal,H,SI2,61.4,57.0,12284,8.28,8.24,5.07
199,0.3,Very Good,E,VS1,61.5,57.0,578,4.28,4.31,2.64
200,1.01,Ideal,G,VS2,59.7,57.0,6024,6.49,6.44,3.86
201,0.41,Very Good,E,SI1,61.5,61.0,705,4.75,4.78,2.93
202,0.33,Ideal,G,IF,61.3,57.0,984,4.42,4.46,2.72
203,0.71,Ideal,F,VS1,61.5,56.0,3710,5.72,5.76,3.53
204,1.53,Premium,F,VS2,58.5,60.0,14483,7.62,7.56,4.44
205,0.31,Premium,G,VVS2,60.5,58.0,707,4.39,4.43,2.67
206,0.57,Ideal,F,VS2,61.6,56.0,1684,5.37,5.34,3.3
207,1.01,Very Good,D,SI1,61.4,59.0,6270,6.37,6.43,3.93
208,1.04,Very Good,G,VS1,63.4,59.0,6814,6.46,6.38,4.07
209,1.0,Good,F,VS2,63.7,59.0,6037,6.32,6.27,4.01
210,1.5,Good,I,SI2,58.5,60.0,6731,7.41,7.5,4.36
211,1.28,Ideal,H,VVS1,61.7,55.0,8759,6.97,7.01,4.31
212,0.34,Ideal,F,VVS2,61.7,55.0,784,4.49,4.52,2.78
213,0.54,Ideal,F,VS1,60.9,56.0,1814,5.31,5.27,3.22
214,0.71,Premium,G,VS1,62.2,59.0,2825,5.73,5.66,3.54
215,1.0,Premium,G,SI2,61.4,61.0,3713,6.35,6.32,3.89
216,0.32,Ideal,G,VVS1,61.4,55.0,1080,4.44,4.42,2.72
217,0.61,Ideal,D,VVS2,62.4,58.0,3036,5.38,5.42,3.37
218,0.5,Ideal,G,VS1,62.3,55.0,1624,5.07,5.11,3.17
219,0.46,Ideal,G,VVS1,61.5,55.0,1412,4.97,5.01,3.07
220,0.58,Very Good,H,SI1,59.7,57.0,1239,5.41,5.47,3.25
221,2.0,Good,G,SI2,64.3,60.0,10416,7.87,7.83,5.05
222,0.31,Ideal,E,VS1,61.8,56.0,942,4.34,4.33,2.68
223,0.37,Very Good,F,SI1,62.3,59.0,616,4.57,4.61,2.86
224,1.04,Good,J,SI2,64.2,59.0,3425,6.47,6.38,4.13
225,1.2,Ideal,I,VS2,61.1,58.0,6303,6.83,6.86,4.18
226,0.39,Ideal,G,VS1,62.6,55.0,1008,4.66,4.69,2.93
227,1.23,Ideal,G,VVS2,61.0,55.0,9698,6.95,6.93,4.23
228,0.9,Premium,F,VS2,61.9,55.0,4536,6.25,6.23,3.86
229,0.31,Ideal,E,VS1,61.4,56.0,804,4.38,4.35,2.68
230,1.56,Premium,F,SI1,60.1,60.0,11299,7.56,7.52,4.53
231,1.2,Very Good,G,SI2,62.1,56.0,5183,6.79,6.87,4.24
232,2.0,Good,J,SI1,64.2,61.0,11988,7.72,7.69,4.95
233,0.3,Ideal,H,VS1,61.4,54.0,675,4.37,4.33,2.67
234,1.5,Fair,I,SI2,64.9,61.0,4704,7.14,7.09,4.62
235,0.51,Very Good,G,VVS1,60.1,56.0,2005,5.16,5.35,3.16
236,0.4,Premium,E,VS1,62.4,54.0,1125,4.75,4.71,2.95
237,0.91,Premium,I,VS1,59.5,62.0,3620,6.3,6.24,3.73
238,1.03,Ideal,D,VS1,61.5,57.0,8742,6.48,6.52,4.0
239,0.7,Very Good,G,VS1,63.0,60.0,2812,5.57,5.64,3.53
240,0.31,Very Good,J,SI1,63.5,55.0,465,4.33,4.3,2.74
241,1.06,Very Good,H,VS2,60.7,59.0,5415,6.56,6.63,4.0
242,1.1,Very Good,F,VS2,62.7,58.5,7272,6.5,6.59,4.1
243,0.9,Premium,G,VS2,61.3,59.0,4194,6.21,6.15,3.79
244,0.32,Ideal,F,VS2,60.3,55.0,828,4.45,4.4,2.67
245,0.4,Very Good,D,SI1,63.1,57.0,924,4.73,4.69,2.97
246,0.51,Premium,D,SI1,60.9,59.0,1687,5.19,5.13,3.14
247,0.36,Very Good,E,SI2,62.4,58.0,471,4.54,4.56,2.84
248,1.0,Very Good,E,VS1,61.2,57.0,7002,6.43,6.47,3.95
249,0.72,Good,F,SI1,63.1,56.0,2647,5.67,5.68,3.58
250,0.31,Ideal,H,VVS2,62.4,57.0,625,4.32,4.36,2.71
251,0.42,Very Good,H,VS2,62.1,57.0,773,4.76,4.8,2.97
252,0.36,Premium,G,VS1,62.2,59.0,726,4.53,4.57,2.83
253,1.52,Ideal,I,SI2,61.7,57.0,7582,7.38,7.41,4.56
254,0.41,Ideal,G,VVS2,62.5,55.0,1007,4.75,4.76,2.97
255,0.72,Ideal,F,VS2,61.8,56.0,3564,5.72,5.74,3.54
256,0.52,Ideal,F,VVS1,59.8,59.0,2251,5.21,5.25,3.13
257,0.6,Premium,E,VS1,61.0,61.0,1875,5.46,5.39,3.31
258,0.56,Ideal,G,VVS2,60.7,56.0,2167,5.33,5.32,3.23
259,0.53,Very Good,J,SI1,61.5,56.0,1044,5.18,5.21,3.19
260,1.02,Premium,H,VS1,62.1,59.0,5469,6.38,6.43,3.98
261,1.66,Very Good,G,SI2,58.5,62.0,9123,7.73,7.79,4.54
262,0.71,Ideal,H,VVS1,62.0,57.0,2739,5.71,5.75,3.55
263,0.43,Very Good,F,VS2,61.6,59.0,905,4.78,4.87,2.97
264,0.71,Ideal,I,VS1,61.9,55.0,2637,5.75,5.71,3.55
265,0.59,Ideal,E,SI1,62.4,55.0,1789,5.39,5.34,3.35
266,1.0,Very Good,G,VVS1,60.7,58.0,7945,6.46,6.53,3.94
267,0.54,Ideal,G,VVS2,61.4,55.0,2424,5.28,5.31,3.25
268,1.07,Good,E,VS2,63.1,56.0,7250,6.49,6.54,4.11
269,0.5,Very Good,G,SI1,62.8,55.0,1170,5.03,5.07,3.17
270,0.35,Ideal,F,SI1,61.5,55.9,596,4.53,4.56,2.8
271,0.31,Very Good,G,VVS2,62.6,57.0,707,4.29,4.33,2.7
272,1.02,Ideal,F,SI2,62.1,56.0,4238,6.44,6.41,3.99
273,0.7,Ideal,F,VS2,62.3,55.0,2622,5.71,5.65,3.54
274,0.44,Premium,D,VS1,60.2,59.0,1232,4.93,4.91,2.96
275,0.39,Ideal,E,VS2,61.4,56.0,796,4.68,4.74,2.89
276,0.71,Ideal,I,VVS1,62.4,55.0,2559,5.69,5.76,3.57
277,0.9,Good,F,VVS1,64.2,56.0,6124,6.07,6.02,3.88
278,0.6,Premium,E,SI1,59.6,59.0,2016,5.52,5.48,3.28
279,0.3,Premium,I,SI1,61.6,62.0,506,4.3,4.27,2.64
280,0.53,Premium,E,SI1,62.2,56.0,1654,5.22,5.16,3.23
281,1.5,Fair,E,VS1,65.4,57.0,15584,7.14,7.07,4.65
282,1.05,Premium,D,SI2,58.9,58.0,5134,6.74,6.67,3.95
283,0.9,Very Good,E,SI1,62.2,60.0,4054,6.14,6.17,3.83
284,1.0,Very Good,H,SI2,59.1,62.0,3575,6.47,6.5,3.83
285,1.6,Premium,E,SI1,61.2,58.0,9229,7.59,7.5,4.62
286,0.9,Very Good,G,VS2,59.6,61.0,4093,6.2,6.25,3.71
287,0.51,Ideal,E,SI1,59.6,57.0,1438,5.2,5.24,3.11
288,0.3,Premium,D,VS1,59.7,58.0,848,4.39,4.32,2.6
289,1.0,Very Good,F,VS1,62.1,60.0,6883,6.33,6.42,3.96
290,0.71,Very Good,D,SI1,62.4,54.0,2887,5.71,5.79,3.59
291,0.42,Ideal,F,SI1,62.0,57.0,992,4.83,4.81,2.99
292,0.53,Ideal,H,VVS1,60.8,56.0,1781,5.24,5.26,3.19
293,0.4,Ideal,I,SI1,61.2,55.0,692,4.77,4.8,2.93
294,0.3,Ideal,E,VVS2,62.2,54.4,779,4.3,4.32,2.68
295,0.41,Ideal,G,IF,61.7,56.0,1259,4.79,4.81,2.96
296,1.01,Good,D,SI1,65.1,57.0,5544,6.3,6.32,4.11
297,0.9,Very Good,I,VS1,62.6,58.0,3447,6.14,6.17,3.85
298,0.9,Good,F,VS2,62.4,58.0,4370,6.08,6.1,3.8
299,0.77,Very Good,H,SI1,60.4,58.0,2591,5.9,5.93,3.57
300,0.31,Very Good,G,VS2,63.5,58.0,698,4.29,4.22,2.7
301,1.11,Ideal,F,VS2,61.8,56.0,9057,6.66,6.7,4.13
302,0.5,Fair,G,VVS2,64.9,58.0,1712,5.0,4.95,3.23
303,1.01,Fair,G,VS1,66.8,61.0,4864,6.15,6.06,4.08
304,0.71,Ideal,F,VVS2,61.2,55.0,3705,5.73,5.84,3.54
305,1.52,Very Good,I,SI1,62.7,59.0,7506,7.26,7.34,4.58
306,0.3,Very Good,F,SI2,62.6,61.0,394,4.2,4.24,2.64
307,0.71,Very Good,D,VS2,63.1,59.0,3096,5.64,5.67,3.57
308,0.41,Very Good,G,SI1,62.9,56.0,719,4.7,4.75,2.97
309,1.5,Very Good,D,SI2,59.8,63.0,9959,7.44,7.38,4.43
310,0.7,Premium,H,VVS2,61.0,57.0,2596,5.76,5.72,3.5
311,0.33,Premium,H,VS1,62.4,60.0,693,4.42,4.39,2.75
312,0.5,Good,I,VS2,64.6,59.0,987,4.9,4.95,3.18
313,1.31,Very Good,J,SI1,62.5,55.0,5382,6.97,7.05,4.38
314,1.51,Good,I,VS2,63.7,58.0,9116,7.23,7.21,4.6
315,0.8,Premium,G,VS2,59.6,59.0,3136,6.09,6.0,3.6
316,0.53,Very Good,E,VS2,59.1,60.0,1647,5.3,5.26,3.12
317,0.57,Good,D,SI1,59.3,61.0,1561,5.34,5.38,3.18
318,1.5,Premium,D,SI1,62.1,60.0,11863,7.28,7.22,4.5
319,0.9,Good,E,SI2,63.2,57.0,3401,6.06,6.15,3.86
320,1.3,Very Good,J,VS2,61.6,56.0,5832,7.02,7.07,4.34
321,1.11,Ideal,G,VS2,61.7,56.0,7109,6.62,6.66,4.1
322,1.6,Premium,G,SI1,62.2,58.0,11926,7.5,7.44,4.65
323,0.32,Very Good,H,VVS1,62.3,56.0,672,4.35,4.37,2.72
324,0.32,Ideal,H,VVS2,61.8,55.0,828,4.42,4.38,2.72
325,1.38,Ideal,G,SI2,61.4,55.0,7094,7.2,7.17,4.41
326,1.04,Ideal,G,SI2,60.7,57.0,4455,6.61,6.51,3.98
327,0.71,Ideal,G,SI1,62.1,56.0,2650,5.69,5.74,3.55
328,0.5,Premium,E,SI2,61.7,58.0,1240,5.12,5.06,3.14
329,0.58,Ideal,H,VVS1,61.6,56.0,2006,5.35,5.39,3.31
330,0.71,Very Good,F,VS1,62.2,55.0,3045,5.68,5.74,3.56
331,0.7,Ideal,E,SI1,62.7,55.0,2774,5.68,5.74,3.58
332,0.4,Good,G,VS1,63.4,56.0,783,4.68,4.72,2.98
333,0.97,Ideal,H,VVS1,60.4,57.0,6801,6.4,6.48,3.89
334,0.34,Ideal,F,IF,61.7,55.0,1276,4.49,4.52,2.78
335,0.53,Ideal,G,VS1,61.5,57.0,1615,5.26,5.21,3.22
336,0.41,Very Good,E,VS1,62.8,58.0,1079,4.7,4.72,2.96
337,1.0,Very Good,G,VS2,60.0,55.0,5385,6.41,6.52,3.88
338,0.7,Ideal,F,SI2,62.1,57.0,2398,5.65,5.69,3.52
339,0.3,Premium,H,SI1,60.8,61.0,540,4.3,4.25,2.6
340,1.0,Very Good,F,VS2,63.8,56.9,6841,6.29,6.36,4.04
341,0.41,Very Good,E,SI1,63.3,57.0,953,4.72,4.67,2.98
342,0.7,Ideal,I,SI1,61.9,58.0,2054,5.67,5.7,3.52
343,1.51,Very Good,J,SI1,60.6,57.0,7125,7.38,7.46,4.5
344,1.59,Premium,I,VS2,60.2,60.0,10039,7.58,7.61,4.57
345,0.3,Ideal,G,VS1,61.4,55.0,776,4.36,4.31,2.66
346,0.9,Premium,D,SI1,62.2,60.0,4612,6.14,6.08,3.8
347,1.02,Very Good,F,VVS2,62.9,59.0,8940,6.37,6.42,4.02
348,1.02,Premium,E,SI1,61.4,58.0,5956,6.48,6.45,3.97
349,1.01,Good,I,SI2,62.6,59.0,3399,6.24,6.35,3.94
350,1.06,Ideal,I,SI1,61.2,56.0,4630,6.64,6.6,4.05
351,1.57,Very Good,I,VS2,60.2,58.0,9443,7.51,7.57,4.54
352,0.5,Premium,E,SI1,59.9,58.0,1593,5.18,5.17,3.1
