,carat,cut,color,clarity,depth,table,price,x,y,z
44,0.83,Premium,E,SI1,60.7,58.0,,6.06,6.09,3.69
45,0.58,Ideal,G,VS2,60.6,55.0,,5.42,5.45,3.3
46,1.51,Ideal,E,SI2,62.6,53.0,,7.4,7.32,4.61
47,0.51,Ideal,G,VS1,61.9,56.0,,5.12,5.16,3.18
48,0.31,Premium,F,VS2,59.3,60.0,,4.41,4.39,2.61
49,2.02,Premium,G,SI2,63.0,59.0,,8.05,7.95,5.03
50,1.2,Ideal,G,VVS2,62.3,54.0,,6.82,6.86,4.26
51,0.54,Premium,E,SI1,62.2,61.0,,5.24,5.15,3.23
52,1.0,Premium,F,SI1,59.8,59.0,,6.49,6.55,3.9
53,0.43,Very Good,G,VS1,60.9,57.0,,4.88,4.91,2.98
54,0.3,Ideal,D,VS1,61.8,57.0,,4.27,4.3,2.65
55,1.23,Very Good,F,VVS2,58.5,59.0,,6.98,7.07,4.11
56,0.74,Premium,F,SI1,61.4,59.0,,5.81,5.82,3.57
57,1.12,Premium,F,VS1,62.1,60.0,,6.62,6.58,4.1
58,0.81,Good,H,SI1,65.0,56.0,,5.85,5.88,3.81
59,0.3,Premium,E,VS2,62.6,62.0,,4.25,4.21,2.65
60,1.14,Very Good,H,VS2,59.9,57.0,,6.78,6.81,4.07
61,1.5,Good,G,SI1,59.7,65.0,,7.46,7.34,4.42
62,0.57,Premium,E,VS2,62.9,57.0,,5.29,5.24,3.31
63,1.12,Premium,H,SI1,61.9,59.0,,6.66,6.52,4.08
64,1.0,Very Good,F,SI1,63.2,54.0,,6.3,6.23,3.96
65,0.9,Premium,F,SI2,61.5,59.0,,6.23,6.2,3.82
66,0.3,Ideal,G,VVS1,61.9,57.0,,4.28,4.31,2.66
67,0.82,Ideal,F,SI2,61.7,53.0,,6.0,6.12,3.74
68,1.51,Good,H,SI2,63.1,60.0,,7.23,7.28,4.58
69,0.79,Ideal,G,SI1,62.3,57.0,,5.9,5.85,3.66
70,0.68,Very Good,E,SI1,58.2,60.0,,5.75,5.79,3.36
71,0.3,Premium,J,VS2,60.6,59.0,,4.38,4.34,2.64
72,0.56,Premium,D,VS2,61.5,58.0,,5.28,5.33,3.26
73,1.52,Premium,H,SI1,60.1,60.0,,7.45,7.39,4.46
74,0.91,Very Good,I,VS2,61.0,57.0,,6.2,6.26,3.8
75,1.0,Very Good,H,SI2,61.7,55.0,,6.4,6.46,3.97
76,0.51,Ideal,H,VS1,62.7,54.0,,5.12,5.15,3.22
77,0.4,Ideal,D,VVS2,62.2,55.0,,4.74,4.72,2.94
78,1.01,Premium,H,VS2,58.1,60.0,,6.61,6.55,3.82
79,1.11,Ideal,H,SI2,62.6,56.0,,6.58,6.65,4.14
80,0.7,Good,F,VS1,64.0,56.0,,5.6,5.65,3.6
81,0.57,Very Good,D,SI2,62.9,57.0,,5.26,5.3,3.32
82,0.41,Premium,H,SI1,60.9,60.0,,4.83,4.79,2.93
83,2.02,Very Good,I,VS2,63.2,53.0,,8.09,8.18,5.14
84,1.16,Good,F,SI2,63.7,63.0,,6.63,6.55,4.2
85,0.35,Very Good,H,VS1,60.0,57.0,,4.57,4.6,2.75
86,1.51,Ideal,I,SI1,62.2,56.0,,7.36,7.27,4.55
87,0.6,Ideal,F,SI1,61.5,58.0,,5.38,5.41,3.32
88,1.51,Very Good,I,VVS1,63.0,59.0,,7.24,7.3,4.58
89,1.18,Ideal,I,SI1,61.5,56.0,,6.77,6.82,4.18
90,1.06,Ideal,F,IF,61.0,57.0,,6.55,6.64,4.02
91,1.51,Good,D,VS1,63.7,55.0,,7.28,7.22,4.62
92,1.5,Premium,J,SI2,61.0,60.0,,7.34,7.3,4.46
93,0.5,Good,G,IF,64.0,55.0,,5.05,5.08,3.24
94,0.3,Ideal,H,IF,62.1,55.0,,4.3,4.27,2.66
95,0.41,Premium,F,VS1,62.7,58.0,,4.77,4.74,2.98
96,1.1,Ideal,H,VS1,61.4,57.0,,6.65,6.64,4.08
97,1.36,Ideal,G,SI1,61.0,56.0,,7.17,7.2,4.38
98,1.17,Good,G,SI2,63.6,62.0,,6.65,6.55,4.2
99,2.01,Good,I,SI1,63.8,57.0,,7.95,7.91,5.06
100,0.71,Good,D,VS2,63.6,54.0,,5.7,5.75,3.64
101,2.3,Ideal,J,VS2,62.4,56.0,,8.44,8.49,5.28
102,0.43,Very Good,G,IF,62.7,58.0,,4.8,4.84,3.02
103,1.53,Premium,G,VVS1,60.6,58.0,,7.49,7.45,4.53
104,0.32,Ideal,J,VS2,62.3,55.3,,4.36,4.37,2.72
105,0.47,Premium,G,SI1,58.8,58.0,,5.11,5.06,2.99
106,1.01,Very Good,E,SI2,63.3,57.0,,6.39,6.31,4.02
107,0.31,Ideal,G,VVS1,61.0,57.0,,4.38,4.4,2.68
108,0.35,Premium,J,VS1,62.2,58.0,,4.49,4.54,2.81
109,1.09,Premium,I,VS2,63.0,56.0,,6.61,6.57,4.15
110,0.42,Ideal,G,VS2,61.8,56.0,,4.84,4.81,2.98
111,0.36,Ideal,H,VVS1,62.3,56.0,,4.54,4.57,2.84
112,2.0,Premium,G,SI2,60.7,60.0,,8.13,8.07,4.92
113,1.13,Premium,H,VS2,62.0,57.0,,6.68,6.62,4.12
114,0.31,Premium,F,VS2,63.0,57.0,,4.33,4.27,2.71
115,0.9,Fair,I,VS2,65.4,60.0,,6.03,5.96,3.93
116,1.22,Premium,E,SI2,61.5,58.0,,6.84,6.86,4.21
117,0.33,Ideal,G,VS2,62.2,56.0,,4.44,4.43,2.76
118,0.27,Ideal,F,VVS1,61.0,57.0,,4.2,4.22,2.57
119,0.72,Ideal,H,VS2,61.7,57.0,,5.74,5.77,3.55
120,1.01,Very Good,F,SI1,61.9,58.0,,6.41,6.44,3.98
121,1.19,Good,J,SI1,59.8,64.0,,6.94,6.9,4.14
122,1.09,Ideal,E,SI1,61.1,55.0,,6.7,6.66,4.08
123,0.53,Ideal,G,VVS2,62.3,54.0,,5.18,5.2,3.24
124,0.3,Ideal,F,IF,62.0,56.0,,4.34,4.3,2.68
125,0.3,Ideal,E,VS1,62.5,54.0,,4.27,4.32,2.69
126,0.27,Very Good,H,VVS2,62.5,55.0,,4.12,4.16,2.59
127,1.05,Premium,H,SI2,62.8,56.0,,6.54,6.47,4.08
128,0.77,Ideal,D,VS2,61.3,56.0,,5.87,5.9,3.61
129,0.5,Very Good,H,VS1,61.6,57.0,,5.11,5.13,3.15
130,0.57,Fair,F,SI1,65.8,58.0,,5.2,5.1,3.39
131,1.02,Good,G,VS1,57.3,59.0,,6.71,6.65,3.83
132,0.59,Good,I,VVS2,57.8,61.0,,5.52,5.6,3.21
133,0.4,Very Good,G,SI1,61.0,56.0,,4.77,4.8,2.92
134,1.19,Very Good,H,VS2,60.5,59.0,,6.97,7.0,4.17
135,0.38,Good,G,VS2,58.8,62.0,,4.68,4.71,2.76
136,0.4,Ideal,G,VVS1,61.8,56.0,,4.72,4.75,2.92
137,0.3,Very Good,F,VS2,62.8,58.0,,4.25,4.28,2.68
138,0.79,Ideal,E,SI1,61.9,55.0,,5.97,5.89,3.67
139,2.0,Premium,H,SI1,63.0,56.0,,7.98,7.93,5.01
140,2.25,Ideal,E,I1,61.4,54.0,,8.52,8.46,5.21
141,0.72,Very Good,I,VS2,63.3,59.0,,5.66,5.62,3.57
142,0.9,Very Good,G,SI2,62.0,59.0,,6.14,6.19,3.82
143,1.7,Premium,E,VS2,58.6,62.0,,7.92,7.84,4.62
144,1.11,Ideal,G,SI2,61.7,57.0,,6.69,6.65,4.12
145,0.31,Premium,G,VS1,62.1,58.0,,4.36,4.31,2.69
146,1.21,Very Good,H,VS1,62.3,58.0,,6.71,6.74,4.19
147,1.0,Ideal,E,SI1,61.7,55.0,,6.44,6.49,3.99
148,1.7,Very Good,H,SI2,60.8,56.0,,7.67,7.72,4.68
149,0.35,Premium,E,SI1,61.1,59.0,,4.5,4.56,2.77
150,0.38,Premium,E,VS1,60.7,59.0,,4.69,4.73,2.86
151,0.41,Ideal,F,SI1,62.9,56.0,,4.73,4.71,2.97
152,2.07,Premium,F,SI2,60.7,59.0,,8.21,8.16,4.97
153,0.38,Premium,H,VS2,61.8,58.0,,4.66,4.63,2.87
154,1.26,Ideal,H,VS1,60.9,57.0,,6.97,6.99,4.25
155,0.9,Ideal,D,SI1,61.6,55.0,,6.23,6.27,3.85
156,0.75,Ideal,E,SI1,61.4,55.0,,5.8,5.86,3.58
157,0.7,Very Good,F,VS2,63.5,56.0,,5.64,5.45,3.52
158,0.32,Ideal,I,VS2,62.0,57.0,,4.41,4.36,2.72
159,1.01,Ideal,F,SI2,62.9,57.0,,6.35,6.41,4.01
160,0.51,Ideal,G,VVS2,61.6,56.0,,5.12,5.14,3.16
161,0.77,Premium,J,SI1,61.8,59.0,,5.86,5.82,3.61
162,1.53,Very Good,H,IF,63.1,57.0,,7.34,7.25,4.6
163,0.4,Premium,F,VVS1,61.1,59.0,,4.75,4.78,2.91
164,0.96,Ideal,G,SI2,62.1,57.0,,6.32,6.27,3.91
165,0.76,Ideal,D,VS2,63.0,56.0,,5.83,5.79,3.66
166,1.0,Premium,E,VS1,61.1,60.0,,6.43,6.41,3.92
167,1.5,Premium,E,VS1,60.1,60.0,,7.42,7.48,4.48
168,0.72,Ideal,I,VVS1,61.4,57.0,,5.77,5.8,3.55
169,0.33,Premium,G,IF,60.8,58.0,,4.42,4.46,2.7
170,0.7,Premium,F,SI1,60.1,56.0,,5.84,5.78,3.49
171,0.32,Very Good,G,IF,62.4,55.0,,4.4,4.42,2.75
172,0.8,Ideal,F,VS2,60.9,57.0,,5.98,6.04,3.66
173,0.71,Ideal,F,VS1,61.3,56.0,,5.76,5.78,3.53
174,0.71,Premium,D,SI1,61.0,61.0,,5.82,5.75,3.53
175,0.3,Ideal,F,IF,61.1,57.0,,4.39,4.35,2.67
176,1.07,Ideal,G,VS1,61.8,57.0,,6.58,6.52,4.05
177,0.54,Good,G,VS2,63.6,56.0,,5.14,5.17,3.28
178,2.0,Premium,I,VS1,61.1,58.0,,8.08,8.11,4.95
179,1.7,Good,J,VS2,63.6,59.0,,7.53,7.48,4.77
180,0.7,Very Good,J,SI1,61.1,60.0,,5.66,5.7,3.47
181,0.3,Premium,G,SI1,62.5,61.0,,4.29,4.26,2.67
182,1.05,Good,E,I1,64.1,58.0,,6.46,6.32,4.09
183,1.51,Good,I,VS1,64.0,60.0,,7.1,7.19,4.57
184,2.14,Premium,I,VS2,59.3,59.0,,8.39,8.43,5.0
185,1.05,Very Good,G,SI1,61.6,57.0,,6.51,6.54,4.02
186,0.3,Ideal,E,VVS1,61.7,58.0,,4.28,4.31,2.65
187,0.5,Ideal,D,SI1,61.4,58.0,,5.07,5.1,3.12
188,0.78,Ideal,E,SI1,62.7,55.0,,5.9,5.87,3.69
189,0.7,Premium,F,SI1,61.9,58.0,,5.69,5.74,3.54
190,0.43,Ideal,G,VVS1,61.4,55.0,,4.86,4.91,3.0
191,0.3,Very Good,G,VS1,63.1,58.0,,4.28,4.24,2.69
192,0.42,Ideal,G,VS2,62.4,54.0,,4.83,4.78,3.0
193,1.01,Premium,E,SI2,60.4,60.0,,6.49,6.46,3.91
194,1.51,Very Good,F,SI1,59.4,57.0,,7.48,7.57,4.47
195,0.3,Very Good,F,VVS2,59.9,56.0,,4.38,4.44,2.64
196,0.33,Very Good,G,VVS2,62.8,57.0,,4.39,4.47,2.78
197,0.36,Ideal,D,VS2,61.3,55.0,,4.58,4.62,2.82
198,1.0,Good,F,SI2,65.7,62.0,,6.15,6.21,4.06
199,0.38,Very Good,F,SI2,61.2,57.0,,4.67,4.71,2.87
200,0.39,Good,G,VVS1,61.6,61.0,,4.71,4.74,2.91
201,1.01,Premium,G,VVS2,61.4,58.0,,6.46,6.51,3.98
202,0.7,Ideal,I,SI1,62.5,55.0,,5.7,5.73,3.57
203,0.33,Very Good,H,IF,60.3,59.0,,4.47,4.49,2.7
204,0.6,Premium,G,SI1,61.9,61.0,,5.38,5.34,3.32
205,0.52,Very Good,E,VS2,62.3,57.0,,5.1,5.17,3.2
206,0.76,Very Good,I,VS1,59.8,61.0,,5.92,5.96,3.55
207,0.57,Ideal,E,VS1,61.3,57.0,,5.34,5.37,3.28
208,1.22,Premium,D,VS2,59.4,59.0,,6.99,6.92,4.13
209,1.81,Fair,J,SI1,56.2,62.0,,8.14,8.09,4.56
210,0.27,Ideal,I,VS1,62.2,54.0,,4.16,4.2,2.6
211,0.51,Ideal,F,VVS1,62.0,57.0,,5.15,5.11,3.18
212,0.35,Ideal,G,IF,61.8,55.0,,4.56,4.54,2.81
213,0.33,Ideal,D,SI1,61.3,56.0,,4.44,4.46,2.73
214,1.25,Premium,H,SI2,60.5,61.0,,6.97,6.91,4.2
215,1.7,Ideal,I,VS2,61.7,56.0,,7.64,7.72,4.74
216,1.14,Very Good,F,VVS1,62.2,55.9,,6.67,6.69,4.16
217,1.51,Good,G,SI1,63.1,56.0,,7.2,7.28,4.57
218,0.29,Good,F,VS1,64.4,54.0,,4.21,4.24,2.72
219,0.57,Premium,H,VS2,60.1,61.0,,5.4,5.29,3.21
220,0.56,Very Good,E,VS2,61.8,56.0,,5.28,5.31,3.27
221,1.01,Good,F,VS2,57.3,62.0,,6.63,6.59,3.79
222,0.83,Ideal,G,SI1,62.3,57.0,,5.99,6.08,3.76
223,0.64,Very Good,G,VS1,60.4,62.0,,5.54,5.58,3.36
224,0.3,Premium,E,VS2,62.1,58.0,,4.29,4.31,2.67
225,2.19,Premium,J,SI2,61.8,60.0,,8.35,8.25,5.13
226,0.77,Very Good,H,SI2,63.3,58.0,,5.78,5.76,3.65
227,0.44,Premium,I,VVS1,60.8,57.0,,4.93,4.88,2.98
228,0.7,Ideal,F,VS2,62.8,56.0,,5.7,5.67,3.57
229,0.51,Ideal,D,VS2,61.2,55.0,,5.18,5.16,3.16
230,1.2,Ideal,D,VVS2,61.9,56.0,,6.81,6.83,4.22
231,0.59,Ideal,F,SI2,59.5,57.0,,5.5,5.54,3.28
232,1.01,Ideal,G,VS1,62.9,57.0,,6.43,6.39,4.03
233,0.35,Ideal,E,VVS2,61.0,57.0,,4.54,4.58,2.78
234,0.32,Ideal,E,VS2,62.0,55.0,,4.41,4.39,2.73
235,0.65,Very Good,H,VVS1,61.6,58.0,,5.57,5.62,3.42
236,0.31,Very Good,H,VS2,58.9,61.0,,4.43,4.46,2.62
237,0.76,Ideal,E,SI2,61.5,55.0,,5.88,5.93,3.63
238,0.55,Ideal,E,VS1,61.1,55.0,,5.33,5.3,3.25
239,1.02,Very Good,F,SI2,58.7,63.0,,6.49,6.46,3.8
240,1.07,Premium,G,VS2,62.1,58.0,,6.55,6.59,4.08
241,0.53,Good,D,SI2,54.3,65.0,,5.46,5.51,2.98
242,0.56,Ideal,E,VVS2,61.7,56.0,,5.31,5.33,3.28
243,0.4,Ideal,I,IF,62.2,56.0,,4.75,4.71,2.94
244,0.5,Ideal,D,SI2,61.3,54.0,,5.11,5.03,3.11
245,1.0,Good,E,SI1,63.8,55.0,,6.34,6.31,4.03
246,0.3,Very Good,E,SI1,60.9,58.0,,4.31,4.33,2.63
247,1.3,Ideal,H,VS2,62.9,56.0,,7.0,6.96,4.39
248,1.01,Ideal,G,VS2,61.6,56.0,,6.46,6.43,3.97
249,0.25,Ideal,G,IF,61.7,56.0,,4.04,4.1,2.51
250,0.32,Ideal,J,VS1,61.3,57.0,,4.43,4.41,2.71
251,0.7,Ideal,I,SI1,61.9,58.0,,5.66,5.68,3.51
252,0.38,Ideal,D,VVS2,61.5,57.0,,4.63,4.67,2.86
253,1.02,Very Good,J,SI2,62.6,60.0,,6.39,6.42,4.01
254,1.0,Premium,E,VS1,59.1,59.0,,6.56,6.51,3.86
255,1.2,Ideal,H,SI1,61.3,57.0,,6.81,6.85,4.19
256,0.24,Ideal,I,VVS1,62.3,57.0,,3.98,3.95,2.47
257,0.3,Very Good,D,VVS2,59.0,59.0,,4.4,4.42,2.6
258,1.04,Ideal,G,VS2,62.5,57.0,,6.49,6.46,4.05
259,2.0,Very Good,I,SI2,63.1,56.0,,7.98,7.84,5.0
260,1.1,Ideal,F,VVS2,61.2,56.0,,6.66,6.74,4.1
261,0.65,Premium,D,SI1,60.5,58.0,,5.61,5.57,3.38
262,0.23,Ideal,H,VS2,62.3,53.0,,3.96,3.99,2.48
263,2.01,Premium,H,SI1,60.0,60.0,,8.16,8.13,4.89
264,1.01,Premium,F,SI1,62.8,59.0,,6.4,6.36,4.01
265,0.54,Good,E,VS2,63.3,55.0,,5.2,5.26,3.31
266,0.71,Very Good,G,VS1,63.5,56.0,,5.67,5.63,3.59
267,0.53,Very Good,E,VVS2,62.3,55.0,,5.18,5.22,3.23
268,0.8,Ideal,D,SI2,61.9,54.0,,6.0,5.95,3.7
269,1.0,Fair,D,SI1,65.5,60.0,,6.18,6.12,4.03
270,0.9,Very Good,H,VVS2,59.7,62.0,,6.2,6.23,3.71
271,1.5,Very Good,G,VVS1,63.1,62.0,,7.25,7.23,4.57
272,0.33,Ideal,D,SI1,62.0,56.0,,4.44,4.47,2.76
273,0.7,Good,I,VVS2,59.7,59.0,,5.73,5.77,3.43
274,0.33,Ideal,F,SI2,61.4,57.0,,4.44,4.48,2.74
275,0.3,Premium,H,SI1,62.9,58.0,,4.28,4.24,2.68
276,0.71,Very Good,I,VVS2,63.1,58.0,,5.71,5.64,3.58
277,1.57,Ideal,G,VS2,61.7,56.0,,7.42,7.49,4.6
278,1.55,Premium,G,SI1,59.8,59.0,,7.47,7.45,4.46
279,1.57,Ideal,I,SI1,62.2,56.0,,7.42,7.47,4.63
280,1.51,Ideal,G,VS1,62.8,56.0,,7.29,7.24,4.56
281,0.37,Premium,G,VVS2,62.2,58.0,,4.6,4.56,2.85
282,1.5,Fair,E,SI1,58.2,66.0,,7.45,7.4,4.32
283,0.96,Fair,H,I1,68.9,59.0,,6.09,5.96,4.15
284,1.24,Very Good,H,SI1,60.8,60.0,,6.9,6.94,4.21
285,0.51,Ideal,D,VS2,61.5,55.0,,5.18,5.13,3.17
286,0.33,Ideal,E,IF,61.9,57.0,,4.41,4.45,2.74
287,0.32,Very Good,F,VS2,61.5,59.7,,4.32,4.39,2.68
288,1.22,Very Good,G,SI1,63.4,57.0,,6.74,6.77,4.28
289,0.52,Ideal,E,VS1,61.3,56.0,,5.18,5.22,3.19
290,0.7,Very Good,E,VS2,62.7,58.0,,5.65,5.67,3.55
291,0.52,Premium,F,I1,63.0,56.0,,5.18,5.11,3.24
292,0.71,Premium,G,SI1,61.2,61.0,,5.71,5.66,3.48
293,0.37,Premium,I,VS1,61.4,59.0,,4.61,4.55,2.81
294,1.58,Ideal,H,VS2,62.7,56.0,,7.39,7.44,4.65
295,0.32,Ideal,G,IF,61.4,55.0,,4.42,4.44,2.72
296,0.58,Ideal,D,SI2,60.9,56.0,,5.4,5.44,3.3
297,0.43,Very Good,D,SI1,62.9,56.0,,4.78,4.83,3.02
298,0.51,Good,D,SI1,63.4,59.0,,5.07,5.02,3.2
299,1.14,Very Good,J,SI2,62.4,57.0,,6.66,6.7,4.17
300,1.54,Premium,G,SI1,61.8,59.0,,7.32,7.37,4.54
301,0.41,Good,F,VVS2,63.6,56.0,,4.72,4.68,2.99
302,1.03,Fair,E,SI2,65.3,59.0,,6.3,6.25,4.1
303,0.5,Fair,D,SI1,64.6,59.0,,4.93,4.95,3.19
304,0.54,Ideal,H,VS1,61.3,55.9,,5.23,5.27,3.21
305,0.56,Premium,G,VS2,62.5,57.0,,5.28,5.25,3.29
306,1.01,Fair,F,VS2,69.0,61.0,,6.06,5.99,4.16
307,1.05,Premium,D,SI1,61.6,61.0,,6.55,6.5,4.02
308,0.96,Premium,E,SI2,62.8,60.0,,6.3,6.24,3.94
309,0.31,Very Good,G,VS1,62.9,58.0,,4.3,4.35,2.72
310,0.41,Premium,G,VS1,60.2,59.0,,4.79,4.84,2.9
311,0.41,Ideal,H,IF,62.1,56.0,,4.76,4.74,2.95
312,0.35,Ideal,I,IF,61.8,55.0,,4.55,4.57,2.82
313,0.4,Good,G,SI1,63.1,56.0,,4.72,4.75,2.99
314,0.57,Ideal,I,VS1,61.6,56.0,,5.33,5.35,3.29
315,1.2,Ideal,J,SI1,63.0,57.0,,6.74,6.64,4.24
316,0.4,Good,E,SI1,63.5,55.0,,4.67,4.71,2.98
317,1.28,Ideal,H,SI1,62.4,56.0,,6.93,6.91,4.32
318,0.5,Good,E,SI2,58.2,59.0,,5.24,5.27,3.06
319,0.27,Ideal,G,VS2,61.5,56.0,,4.16,4.18,2.56
320,0.33,Premium,H,VS2,61.7,59.0,,4.39,4.42,2.72
321,0.51,Ideal,G,VVS2,62.9,57.0,,5.12,5.09,3.21
322,0.82,Good,H,VS2,62.4,54.0,,5.97,6.04,3.75
323,1.11,Ideal,H,SI2,61.3,55.0,,6.65,6.73,4.1
324,0.34,Ideal,F,VS2,61.0,57.0,,4.5,4.48,2.74
325,0.31,Ideal,H,IF,61.3,56.0,,4.37,4.41,2.69
326,0.71,Ideal,E,VS1,62.3,56.0,,5.69,5.74,3.56
327,1.0,Good,F,VS1,64.2,60.0,,6.18,6.28,4.0
328,2.02,Ideal,G,VS2,61.7,53.0,,8.14,8.04,4.99
329,0.3,Very Good,E,VS1,61.4,59.0,,4.32,4.28,2.64
330,1.51,Ideal,H,VS2,62.6,57.0,,7.37,7.33,4.6
331,0.44,Premium,G,SI1,61.1,59.0,,4.86,4.9,2.98
332,0.5,Ideal,E,SI1,61.6,57.0,,5.13,5.09,3.15
333,0.54,Very Good,E,SI1,59.6,62.0,,5.31,5.36,3.18
334,1.76,Very Good,G,VS1,62.8,55.4,,7.7,7.74,4.85
335,0.71,Ideal,E,VS1,62.1,53.0,,5.76,5.73,3.57
336,0.93,Premium,G,SI1,61.0,59.0,,6.34,6.28,3.85
337,0.92,Good,F,SI2,63.7,64.0,,6.13,6.08,3.89
338,0.52,Ideal,F,VVS2,61.5,55.0,,5.17,5.21,3.19
339,0.32,Ideal,D,VS2,61.0,56.0,,4.41,4.44,2.7
340,0.71,Premium,H,SI2,62.4,56.0,,5.7,5.64,3.54
341,0.42,Very Good,H,VVS1,62.2,56.0,,4.78,4.81,2.98
342,1.15,Very Good,G,VVS2,63.2,58.0,,6.68,6.61,4.2
343,1.01,Very Good,E,SI1,63.1,57.0,,6.4,6.37,4.03
344,0.9,Good,F,VS2,64.3,57.0,,6.07,6.09,3.91
345,0.52,Ideal,F,VVS2,61.6,57.0,,5.16,5.2,3.19
346,1.0,Very Good,E,SI1,61.7,57.0,,6.34,6.47,3.95
347,1.04,Ideal,I,SI1,61.7,55.0,,6.5,6.54,4.02
348,0.3,Ideal,E,VVS1,61.2,57.0,,4.33,4.36,2.66
349,1.19,Very Good,I,SI1,63.2,58.0,,6.82,6.7,4.27
350,0.43,Very Good,G,VS2,62.9,59.0,,4.78,4.83,3.02
351,0.57,Ideal,G,VVS2,60.5,56.0,,5.36,5.38,3.25
352,1.0,Premium,G,SI2,61.8,58.0,,6.39,6.43,3.96
353,0.55,Ideal,E,VS1,62.2,55.0,,5.26,5.22,3.26
354,0.31,Premium,H,VVS1,61.9,58.0,,4.34,4.32,2.68
355,0.75,Premium,F,SI2,60.9,58.0,,5.88,5.91,3.59
356,0.9,Good,D,VS2,63.5,61.0,,6.09,6.16,3.89
357,0.28,Very Good,E,VVS2,61.0,57.0,,4.22,4.25,2.58
358,0.33,Premium,F,VS2,60.8,58.0,,4.44,4.47,2.71
359,0.42,Ideal,D,VS2,62.2,55.0,,4.75,4.8,2.97
360,0.7,Very Good,G,VS1,62.5,58.0,,5.63,5.69,3.54
361,0.5,Premium,F,VS2,62.3,58.0,,5.02,5.06,3.14
362,1.03,Ideal,G,VS2,60.3,56.0,,6.59,6.55,3.96
363,0.3,Ideal,F,VS2,62.0,54.0,,4.34,4.31,2.68
364,0.3,Ideal,G,VVS2,61.5,55.0,,4.32,4.3,2.65
365,2.1,Premium,I,SI1,59.9,61.0,,8.34,8.26,4.97
366,0.7,Good,G,SI1,64.0,55.0,,5.59,5.62,3.59
367,0.9,Premium,D,SI1,62.2,58.0,,6.11,6.18,3.82
368,2.03,Ideal,I,SI1,61.8,57.0,,8.07,8.14,5.01
369,0.38,Ideal,E,VVS1,61.9,53.7,,4.66,4.67,2.89
370,0.7,Very Good,I,VVS1,58.8,61.0,,5.78,5.82,3.41
